Instance	Evaluations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)
87	1000000	6105923	6102027	6098222	6115946	6078543
88	100	6337441	6328262	6341200	6336544	6335108
88	1000	6229851	6233939	6217602	6224467	6233317
88	10000	6155001	6133678	6140525	6119434	6125221
88	100000	6066336	6061472	6074820	6044296	6071173
88	1000000	6044130	6035509	6035470	6045731	6019161
89	100	6288598	6258821	6265324	6251096	6252614
89	1000	6183181	6200375	6175882	6186928	6176728
89	10000	6084560	6059855	6089304	6066385	6062537
89	100000	6030924	6016084	6002131	5998255	5999843
89	1000000	5992590	5989934	5997379	5978446	5973792
90	100	6346436	6322861	6323701	6359253	6364657
90	1000	6249268	6236629	6216583	6220235	6236370
90	10000	6140884	6145871	6146045	6132535	6135448
90	100000	6072853	6089153	6046622	6076842	6063449
90	1000000	6051827	6040827	6035798	6026889	6029153
91	100	6236043	6226162	6212345	6247166	6205563
91	1000	6148782	6138313	6144886	6134222	6130977
91	10000	6061876	6039643	6038103	6017823	6034155
91	100000	5961061	5982211	5934241	5945312	5949352
91	1000000	5935198	5902138	5918301	5917197	5923839
92	100	6409829	6394878	6374646	6408829	6404992
92	1000	6308526	6312390	6304278	6292342	6326239
92	10000	6238082	6213862	6196842	6201216	6190014
92	100000	6146360	6157842	6135115	6125194	6148301
92	1000000	6105905	6101444	6102062	6116441	6101702
93	100	6355850	6334813	6362589	6317654	6337758
93	1000	6275577	6231835	6234679	6263239	6242820
93	10000	6155506	6154518	6164925	6125031	6148145
93	100000	6093856	6086505	6063558	6054517	6071713
93	1000000	6048481	6043977	6038816	6041011	6049271
94	100	6350500	6327155	6346090	6348410	6325391
94	1000	6234782	6259772	6254510	6222595	6249866
94	10000	6148371	6151559	6127288	6138766	6119870
94	100000	6076260	6070204	6067190	6081321	6074391
94	1000000	6041747	6044348	6035908	6034140	6015189
95	100	6398310	6380247	6382183	6408152	6366744
95	1000	6307443	6289297	6281174	6273475	6278443
95	10000	6187936	6179767	6192190	6194450	6168831
95	100000	6101071	6108426	6122394	6114537	6105621
95	1000000	6100976	6078980	6092718	6089407	6085637
96	100	6310022	6291256	6286937	6284582	6281700
96	1000	6207401	6196637	6203166	6200122	6179058
96	10000	6112109	6093563	6108942	6091554	6084484
96	100000	6031177	6010352	6022577	6032872	5996702
96	1000000	5991724	6001983	5994229	5997016	6002415
97	100	6363510	6351654	6362295	6382474	6379232
97	1000	6283803	6286638	6286366	6287729	6255562
97	10000	6196561	6177528	6178805	6175177	6175145
97	100000	6114604	6131047	6100352	6109008	6107207
97	1000000	6076926	6051097	6072633	6083804	6070477
98	100	6456684	6446719	6436266	6428429	6407985
98	1000	6352836	6332792	6331267	6317241	6333752
98	10000	6224866	6241117	6238788	6231736	6227001
98	100000	6162809	6161137	6166742	6150721	6154618
98	1000000	6134168	6130572	6129234	6129694	6118657
99	100	6268386	6286381	6301388	6313724	6273306
99	1000	6209758	6216002	6200408	6177931	6185915
99	10000	6088124	6109214	6098496	6112359	6083838
99	100000	6032683	6043380	6027970	6010957	6006034
99	1000000	6005287	5988108	6004228	5983668	5979380
100	100	6268221	6255812	6247782	6280906	6229605
100	1000	6161063	6168197	6155966	6154268	6142022
100	10000	6079751	6057544	6048052	6048610	6047317
100	100000	6000811	5989088	5995872	5979905	5971002
100	1000000	5987319	5952305	5971063	5946905	5958834
