Instance	Evaluations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
8	100000	6133438	6120510	6113734	6130771	6081143	6069360	6046944	6244957	6221354	6195865
8	1000000	6079747	6072829	6087738	6050880	6031506	6033984	6026618	6207558	6181577	6172905
9	100	6269712	6265431	6284273	6272946	6255407	6259729	6261248	6293797	6302804	6298625
9	1000	6180123	6197335	6179496	6166564	6179685	6178312	6154532	6266962	6243493	6272461
9	10000	6100712	6098322	6098288	6089796	6072918	6061408	6070819	6206408	6202054	6167392
9	100000	6049813	6056458	6015882	6012911	5992564	5987665	5994652	6139892	6130396	6117463
9	1000000	5991939	6007333	5983252	5972396	5952411	5956565	5955421	6130681	6088407	6089732
10	100	6320431	6320181	6337875	6330106	6307098	6310130	6308342	6379673	6372489	6381747
10	1000	6246234	6241680	6228157	6268060	6228450	6234644	6212669	6349086	6324571	6321787
10	10000	6197489	6166120	6151377	6145804	6137600	6138247	6112860	6269774	6271797	6257987
10	100000	6106096	6111751	6101657	6077626	6047266	6059578	6059160	6220537	6201998	6195948
10	1000000	6067533	6054476	6042544	6043396	6035322	6029730	6019635	6179112	6163628	6153017
11	100	6332046	6290454	6295317	6326867	6302562	6294470	6285807	6347675	6351030	6357217
11	1000	6226115	6250650	6229786	6227869	6207495	6220956	6207013	6300965	6315340	6306261
11	10000	6145373	6157406	6148524	6160685	6124123	6146983	6100320	6277481	6225843	6267328
11	100000	6085299	6097615	6087240	6069745	6063364	6045013	6013871	6194073	6173055	6190150
11	1000000	6039545	6034989	6046496	6036068	6028925	6020803	6002471	6172096	6161683	6154292
12	100	6391168	6393753	6378987	6397191	6399706	6402971	6384378	6448975	6444104	6429032
12	1000	6291523	6320702	6305989	6316236	6314066	6265030	6271553	6391156	6371746	6383275
12	10000	6213049	6232238	6231545	6228861	6195798	6176826	6176282	6346412	6316863	6327933
12	100000	6163748	6144923	6157181	6126470	6134080	6112991	6103336	6293963	6257471	6279072
12	1000000	6121673	6123328	6113970	6113003	6094763	6097007	6051340	6270260	6217866	6235789
13	100	6309992	6311847	6297377	6327695	6309442	6314083	6320867	6346542	6345504	6336252
13	1000	6240779	6244030	6242676	6219748	6214173	6206609	6218216	6308009	6327061	6302756
13	10000	6153317	6155546	6164796	6149408	6119048	6098039	6082204	6267973	6282416	6228326
13	100000	6104071	6068533	6070587	6068957	6076724	6049451	6035980	6212033	6184222	6182257
13	1000000	6026725	6045506	6029884	6013292	6026207	5993862	5994857	6169308	6160908	6141899
14	100	6277618	6302627	6311400	6332081	6325026	6304502	6274944	6338354	6348320	6337597
14	1000	6263624	6221412	6242993	6227477	6214129	6193363	6219253	6324385	6294724	6291582
14	10000	6157335	6157949	6148685	6143442	6123420	6106756	6085160	6261251	6238525	6246789
14	100000	6070944	6087803	6067484	6061987	6052543	6040449	6027984	6192415	6182415	6187435
14	1000000	6024182	6048465	6035536	6019103	6026759	6001483	5991922	6176264	6150667	6147663
15	100	6332726	6323982	6346516	6347746	6382499	6302092	6366514	6378996	6360049	6383073
15	1000	6267894	6286110	6271865	6266337	6246427	6238976	6223677	6357800	6347746	6324666
15	10000	6210659	6183909	6169517	6172309	6145804	6148174	6126605	6269941	6275600	6252840
15	100000	6129789	6094743	6113092	6088436	6076768	6085809	6044891	6239948	6212850	6198693
15	1000000	6064033	6072149	6051985	6067996	6038075	6046272	6024809	6197720	6178633	6173120
16	100	6272943	6271234	6266072	6261911	6266665	6260497	6242074	6300729	6308003	6301508
16	1000	6184701	6178340	6205614	6175177	6182881	6161250	6142554	6236541	6250077	6246354
16	10000	6112106	6105716	6090812	6088794	6065718	6053952	6064994	6233762	6202374	6184835
16	100000	6030737	6039165	6042238	6022056	6012648	5995607	5979920	6152316	6120878	6153507
16	1000000	6004821	5996946	5986471	5966114	5959082	5963002	5953797	6120465	6107647	6101289
17	100	6324179	6297861	6305126	6309215	6288342	6299046	6274975	6356228	6313609	6342228
17	1000	6232646	6244328	6226699	6231296	6207752	6212488	6184585	6306342	6307405	6297506
17	10000	6157158	6151696	6155892	6152877	6111631	6110261	6090389	6270443	6242914	6232071
17	100000	6105816	6078451	6081914	6067723	6056433	6052560	6017989	6184547	6169744	6167035
17	1000000	6035347	6019531	6027814	6021625	6003170	6005508	5992606	6159403	6128027	6148350
18	100	6333232	6352663	6339027	6348177	6343886	6324831	6351106	6358047	6364121	6370427
18	1000	6275347	6280952	6267912	6257504	6220655	6224383	6229927	6331160	6327966	6341857
18	10000	6193691	6180671	6158455	6142121	6165232	6148479	6115402	6277245	6271157	6253236
18	100000	6112303	6112731	6093393	6113109	6082395	6068475	6042076	6217603	6211315	6199320
18	1000000	6069131	6073186	6064562	6050678	6036518	6033950	6018136	6216991	6159761	6176133
