Instance	Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
47	1000	1531700	1506285	1513849	1518255	1509238	1525115	1514949	1542067	1534287	1531510
47	10000	1496210	1481075	1477184	1478638	1488208	1479269	1475166	1527623	1526595	1523145
47	100000	1469056	1460871	1458902	1467830	1460072	1462628	1456012	1513272	1506323	1501352
47	1000000	1458954	1455611	1453555	1458078	1456157	1451366	1446049	1509104	1496898	1496801
47	10000000	1447211	1445947	1443822	1444892	1444634	1444315	1440954	1489796	1481142	1483026
48	100	1512820	1516897	1491464	1498363	1513260	1517039	1514784	1537916	1527603	1520892
48	1000	1487871	1476740	1471908	1486475	1482021	1471702	1466319	1519342	1511083	1512523
48	10000	1454083	1451252	1448043	1459895	1447694	1447912	1439515	1485465	1479954	1485301
48	100000	1439927	1434601	1425704	1425554	1429139	1428477	1415946	1472618	1470233	1473190
48	1000000	1423084	1420197	1416491	1421287	1417906	1415553	1421539	1470661	1461662	1459216
48	10000000	1413854	1413395	1408667	1411724	1407025	1412979	1411040	1460826	1448901	1439731
49	100	1555912	1538126	1552543	1553649	1550857	1562814	1556412	1568961	1565253	1567080
49	1000	1527112	1514331	1515299	1525168	1522836	1519272	1509917	1550123	1550873	1556324
49	10000	1502210	1487143	1480658	1494040	1493729	1494953	1482593	1531635	1527713	1525773
49	100000	1477124	1467839	1469677	1471317	1480187	1466392	1471208	1522856	1513516	1507437
49	1000000	1464509	1460575	1460989	1465566	1462872	1453686	1460218	1503238	1499361	1498121
49	10000000	1454474	1456849	1451646	1456182	1454584	1451809	1451603	1497908	1488695	1485390
50	100	1537368	1539275	1525606	1540304	1548290	1522055	1533756	1553976	1556659	1544481
50	1000	1518845	1504903	1497901	1514069	1510940	1503860	1500194	1534935	1533647	1523300
50	10000	1478636	1476363	1477817	1478590	1482513	1469273	1453183	1520172	1509651	1500738
50	100000	1469493	1455239	1451245	1454010	1464011	1458215	1444997	1492354	1494624	1491298
50	1000000	1448207	1444571	1444924	1439533	1439015	1442802	1442205	1496023	1487853	1479185
50	10000000	1435432	1438574	1434126	1438026	1434992	1434855	1430602	1476399	1474173	1471480
